Date,Dow,France,Germany,S&P 500,Hong Kong,NASDAQ,Korea,Japan,Shanghai,Philadelphia,Taiwan,Future,OpenChange,selfDef,kMeans
2013/8/30,-0.21,-0.43,-1.12,-0.32,0.12,-0.84,0.99,-0.53,0.06,-0.89,1.32,0.95,-11.74,0,0
2013/9/3,0.16,-0.02,-0.77,0.42,0.99,0.63,0.46,2.99,1.18,0.86,0.62,0.42,-21.7,1,1
2013/9/4,0.65,0.73,0.19,0.81,-0.31,1.01,-0.04,0.54,0.21,2.58,-0.06,0.24,25.8,3,3
2013/9/5,0.04,1.99,0.48,0.12,1.22,0.27,0.96,0.08,-0.24,0.73,1.06,0.73,11.43,0,0
2013/9/6,-0.1,2.02,0.49,0.01,0.1,0.03,0.19,-1.45,0.83,-0.41,-0.06,0.12,12.27,0,0
2013/9/9,0.94,1.35,0.01,1.0,0.57,1.26,0.99,2.48,3.39,1.33,0.34,0.23,25.1,3,3
2013/9/10,0.85,2.32,2.06,0.73,0.99,0.62,0.98,1.54,1.15,1.92,0.2,0.15,-34.23,1,1
2013/9/11,0.89,1.26,0.58,0.31,-0.17,-0.11,0.49,0.01,0.15,-0.33,0.0,0.26,-28.61,1,1
2013/9/12,-0.17,0.14,-0.02,-0.34,0.07,-0.24,0.01,-0.26,0.64,-0.61,0.2,0.09,-15.21,0,0
2013/9/13,0.49,0.47,0.18,0.27,-0.17,0.17,-0.49,0.12,-0.86,0.45,-0.69,-0.57,21.41,3,3
2013/9/17,0.23,0.17,-0.19,0.42,-0.31,0.75,-0.39,-0.65,-2.05,0.62,-0.07,-0.08,-1.6,0,0
2013/9/24,-0.43,0.79,0.34,-0.26,-0.82,0.08,-0.11,-0.07,-0.61,0.7,0.08,0.13,-15.52,0,0
2013/9/25,-0.4,0.5,0.01,-0.27,0.13,-0.19,-0.45,-0.76,-0.41,0.04,-0.18,-0.41,6.2,0,0
2013/9/26,0.36,0.35,-0.02,0.35,-0.36,0.7,0.46,1.22,-1.94,-0.05,-1.2,-0.61,37.45,3,3
2013/9/27,-0.46,0.38,-0.03,-0.41,0.35,-0.15,0.22,-0.26,0.2,-0.79,0.56,0.02,-55.82,1,1
2013/9/30,-0.84,-0.48,-0.77,-0.6,-1.5,-0.27,-0.74,-2.06,0.68,0.0,-0.69,-0.76,0.12,0,0
2013/10/8,-1.07,0.67,-0.42,-1.23,0.89,-2.0,0.42,0.3,1.08,-1.67,0.5,0.59,-23.4,1,1
2013/10/11,0.73,1.7,0.45,0.63,1.16,0.83,1.17,1.48,1.7,0.18,0.06,0.28,-9.38,0,0
2013/10/15,-0.87,1.5,0.92,-0.71,0.51,-0.56,1.02,0.26,-0.19,-0.89,1.14,0.72,16.15,0,0
2013/10/16,1.36,0.27,0.47,1.38,-0.46,1.2,-0.31,0.18,-1.81,1.02,-0.43,-0.12,58.7,3,3
2013/10/17,-0.01,0.62,-0.38,0.67,-0.57,0.62,0.29,0.83,-0.21,0.7,0.51,0.37,41.65,3,3
2013/10/18,0.18,1.92,0.6,0.65,1.06,1.32,0.58,-0.17,0.24,0.27,0.79,0.62,15.49,0,0
2013/10/21,-0.05,0.7,0.02,0.01,0.42,0.15,0.03,0.91,1.62,0.32,-0.26,-0.19,-11.7,0,0
2013/10/22,0.49,0.65,0.9,0.57,-0.52,0.24,0.15,0.13,-0.83,-0.18,-0.01,0.17,1.53,0,0
2013/10/23,-0.35,-0.06,-0.31,-0.47,-1.36,-0.57,-0.99,-1.95,-1.25,-3.35,-0.29,-0.65,-29.17,1,1
2013/10/24,0.62,0.61,0.68,0.33,-0.71,0.56,0.54,0.42,-0.86,0.82,0.24,0.38,-33.41,1,1
2013/10/25,0.39,0.29,0.06,0.44,-0.6,0.37,-0.6,-2.75,-1.45,0.44,-0.8,-0.85,18.81,0,0
2013/10/28,-0.01,0.22,-0.08,0.13,0.48,-0.08,0.68,2.19,0.04,0.64,0.73,0.82,-12.98,0,0
2013/10/29,0.72,0.99,0.48,0.56,0.18,0.31,0.18,-0.49,-0.23,1.51,0.16,0.25,8.42,0,0
2013/10/30,-0.39,0.75,-0.13,-0.49,2.0,-0.55,0.38,1.23,1.48,-0.53,0.52,0.39,-27.3,1,1
2013/10/31,-0.47,0.83,0.26,-0.38,-0.42,-0.28,-1.43,-1.2,-0.87,0.55,-0.18,-0.15,24.41,3,3
2013/11/1,0.45,0.43,-0.29,0.29,0.19,0.06,0.46,-0.88,0.37,-0.33,-0.73,-0.43,-16.35,0,0
2013/11/5,-0.13,-0.55,-0.31,-0.28,-0.65,0.08,-0.56,0.17,0.35,-0.31,-1.1,-0.84,12.87,0,0
2013/11/6,0.82,1.27,0.35,0.43,-0.01,-0.2,-0.01,0.79,-0.82,0.35,0.24,0.02,16.09,0,0
2013/11/7,-0.97,0.36,0.44,-1.32,-0.68,-1.9,-0.48,-0.76,-0.48,-1.92,0.02,-0.15,-48.41,1,1
2013/11/8,1.08,-0.21,-0.03,1.34,-0.6,1.6,-0.96,-1.0,-1.09,1.17,-0.65,-0.41,-0.69,0,0
2013/11/11,0.14,1.84,0.33,0.07,1.43,0.01,-0.38,1.3,0.16,-0.12,-0.57,-0.35,51.06,3,3
2013/11/12,-0.21,0.24,-0.34,-0.24,-0.73,0.0,0.92,2.23,0.82,0.64,0.16,0.26,4.0,0,0
2013/11/13,0.45,-0.56,-0.24,0.81,-1.91,1.16,-1.6,-0.15,-1.83,0.87,-1.11,-1.31,33.56,3,3
2013/11/14,0.35,1.67,1.05,0.48,0.82,0.18,0.2,2.12,0.6,-0.51,0.38,0.21,33.99,3,3
2013/11/15,0.54,0.81,0.21,0.42,1.69,0.33,1.94,1.95,1.68,0.7,0.52,0.43,24.73,3,3
2013/11/18,0.09,1.14,0.62,-0.37,2.73,-0.93,0.26,-0.01,2.87,-0.93,0.18,0.34,23.54,3,3
2013/11/19,-0.06,-0.11,-0.35,-0.2,-0.01,-0.44,1.04,-0.25,-0.19,-1.26,0.84,0.73,-9.9,0,0
2013/11/20,-0.41,0.09,0.1,-0.36,0.18,-0.26,-0.71,-0.33,0.62,-0.45,-0.67,-0.33,-6.6,0,0
2013/11/21,0.69,0.12,-0.07,0.81,-0.51,1.22,-1.16,1.92,-0.04,1.74,-1.28,-1.57,8.53,0,0
2013/11/22,0.34,1.32,0.25,0.5,0.49,0.57,0.62,0.1,-0.43,0.08,0.21,0.1,66.12,3,3
2013/11/25,0.05,1.2,0.88,-0.13,-0.05,0.07,0.49,1.54,-0.47,-0.12,0.87,1.34,13.19,0,0
2013/11/26,0.0,-0.31,-0.11,0.01,-0.01,0.58,0.33,-0.67,-0.14,0.86,0.74,0.7,39.61,3,3
2013/11/27,0.15,0.36,0.66,0.25,0.53,0.67,0.31,-0.42,0.82,0.33,0.58,0.65,24.77,3,3
2013/11/29,-0.07,0.13,0.19,-0.08,0.39,0.37,-0.04,-0.41,0.05,0.05,0.53,0.6,22.41,3,3
2013/12/2,-0.48,-0.2,-0.04,-0.27,0.66,-0.36,-0.69,-0.04,-0.59,-0.17,0.09,-0.14,-6.87,0,0
2013/12/3,-0.59,-2.36,-1.9,-0.32,-0.53,-0.2,-1.05,0.6,0.69,0.35,-0.26,-0.02,-13.11,0,0
2013/12/4,-0.16,-0.57,-0.9,-0.13,-0.76,0.02,-1.12,-2.17,1.31,-0.48,0.3,0.33,12.53,0,0
2013/12/5,-0.43,-0.49,-0.61,-0.43,-0.07,-0.12,-0.1,-1.5,-0.21,0.23,-0.5,-0.65,-2.93,0,0
2013/12/6,1.26,0.72,0.96,1.12,0.13,0.73,-0.22,0.81,-0.44,1.11,-0.09,0.07,72.04,3,4
2013/12/9,0.03,1.26,0.25,0.18,0.29,0.15,1.01,2.29,0.05,0.23,0.92,0.86,7.19,0,0
2013/12/10,-0.33,-0.45,-0.88,-0.32,-0.28,-0.2,-0.35,-0.25,-0.03,-0.28,-0.01,-0.01,7.57,0,0
2013/12/11,-0.81,-0.1,-0.41,-1.13,-1.71,-1.4,-0.78,-0.62,-1.49,-1.0,-0.11,-0.26,-28.15,1,1
2013/12/12,-0.66,-0.4,-0.66,-0.38,-0.51,-0.14,-0.51,-1.12,-0.06,-0.85,-0.86,-0.47,-6.32,0,0
2013/12/13,0.1,0.08,-0.12,-0.01,0.12,0.06,-0.26,0.4,-0.31,-0.06,0.19,0.06,-8.11,0,0
2013/12/16,0.82,1.64,1.74,0.63,-0.56,0.71,-0.09,-1.62,-1.6,1.31,-0.75,-0.71,38.11,3,3
2013/12/17,-0.06,0.42,-0.86,-0.31,-0.2,-0.14,0.23,0.83,-0.45,0.98,0.47,0.34,8.82,0,0
2013/12/18,1.84,1.0,1.06,1.66,0.32,1.15,0.45,2.02,-0.13,0.75,-0.05,-0.28,51.35,3,3
2013/12/19,0.07,1.95,1.68,-0.06,-1.1,-0.29,0.05,1.74,-0.95,-0.63,0.7,0.72,-7.19,0,0
2013/12/20,0.26,1.21,0.69,0.48,-0.33,1.15,0.39,0.07,-2.02,0.83,0.01,0.27,32.63,3,3
2013/12/27,-0.01,1.62,1.06,-0.03,0.27,-0.25,0.15,0.03,1.36,0.02,0.58,0.49,17.09,0,0
2013/12/30,0.16,0.9,-0.39,-0.02,0.01,-0.06,0.45,0.69,-0.18,0.3,1.04,0.96,13.07,0,0
2014/1/6,-0.27,-0.03,-0.08,-0.25,-0.58,-0.44,0.37,-2.35,-1.8,-0.55,-0.54,-0.16,15.35,0,0
2014/1/7,0.64,0.97,0.83,0.61,0.13,0.96,0.32,-0.59,0.08,0.7,0.14,0.29,36.31,3,3
